@relation timetagging

@attribute gloss string
@attribute class {past, present, future, neutral}



@data
'अलंकार किया हुआ या जो रत्नों आदि से सजा हो ',present
'नदी आदि के घाट पर बैठकर दान लेने वाला पंडा ',future
'चिउड़ा, मुरमुरा, दाल, मूँगफली आदि पदार्थों को भूनकर या तलकर और उसमें नमक मिर्च आदि मसाले डालकर बनाया हुआ खाद्य पदार्थ ',past
'रेंगकर चलने वाला एक छोटा, पतला कीड़ा ',neutral
'प्रति बारहवें वर्ष पड़ने वाला एक पर्व ',neutral
'पाने वाला ',neutral
'यज्ञ की वेदी पर फैलाया जाने वाला कुश ',future
'काली चित्तियों वाला विषधर सर्प ',neutral
'वह शब्द या पद जो कुछ लोगों के मुँह से बात-चीत करते समय प्रायः निकला करता है ',past
'धर्म संबंधी शिक्षा देने वाला व्यक्ति ',neutral
'फ्रांस के पेरिस में स्थित धातु का बना ३२४ मीटर ऊँचा भवन ',future
'अत्यधिक चाय पीने वाला व्यक्ति ',neutral
'* आधुनिक समय का व्यक्ति ',neutral
'वह स्थान जो छिपा हुआ हो ',present
'चढ़ने वाला व्यक्ति ',neutral
'संगणक या कम्प्यूटर द्वारा बना रेखाचित्र ',neutral
'भाँग, शराब आदि का नशा उतरने के समय या उतर जाने के बाद की वह स्थिति जिसमें शरीर आलस्य से भरा होता है, आँखें चढ़ी होती हैं, गला सूख रहा होता है तथा तबीयत कुछ बेचैन सी रहती है ',past
'वह क्षेत्र जहाँ युद्ध हुआ हो या होता हो ',present
'जन्म कुंडली में दसवाँ स्थान ',future
'कच्चे गेहूँ का खींचा हुआ अर्क ',neutral
'चरने वाला पशु ',neutral
'एक अपने आप में पूर्ण कार्यान्वयन जिसमें कुछ विशिष्ट घटनाएँ किसी क्रम से होती हैं और फिर उतने ही समय में जिसकी पुनरावृत्ति होती है ',past
'एक लसदार चिपकाने वाला तरल पदार्थ ',neutral
'सामाजिक संबंधों में औरों के साथ किया जाने वाला आचरण ',future
'वह जिसने अभी या कुछ समय पहले जन्म लिया हो ',present
'मोटे सूतों का बुना हुआ एक प्रकार का बिछौना ',neutral
'रोटियाँ पकाकर बेचने वाला व्यक्ति ',neutral
'पलाश की लकड़ी का बना एक यज्ञ पात्र ',neutral
'वह पुरुष जिसका तीसरा विवाह हुआ हो ',present
'वह रंग जिसका माध्यम सूखने वाला तेल होता है ',present
'एक प्राकृतिक घटना जिसमें जलाशय या समुद्र का जल कुछ समय के लिए ऊपर उठकर स्तंभ का रूप धारण कर लेता है ',past
'सूद खाने वाला व्यक्ति ',neutral
'जीवाणु से तैयार किया गया वैक्सीन ',present
'वह समय जिसके बीच कोई विशेष बात हो ',present
'तालाब के बीच में गड़ा हुआ ऊँचा मोटा लट्ठा ',future
'तंबूर बजाने वाला व्यक्ति ',neutral
'स्त्री के वेश में नाचने वाला पुरुष ',future
'बैलों के झुंड में सबसे आगे चलने वाला बैल ',future
'होटल आदि में एक बार में थाली में सजाकर परोसा जाने वाला भोजन ',future
'इकठ्ठा या जमा किया हुआ धन ',present
'किसी के मरने के दिन से तेरहवें दिन का कृत्य जिसमें पिंडदान होता है, और ब्राह्मण आदि को भोजन करा के घर के लोग शुद्ध होते हैं ',past
'चौबीस वर्णों वाला एक वैदिक छंद ',neutral
'वह देश जहाँ कोई पैदा हुआ हो ',present
'धातु का तार खींचने वाला ',neutral
'वह अमावस्या जिस दिन चंद्रमा बिलकुल दिखाई न दे ',present
'ढालने वाला व्यक्ति ',neutral
'ढोल बजाने वाला व्यक्ति ',neutral
'वह पुल जो टकटकी संरचना से बना हो ',present
'व्यापार करने वाला व्यक्ति ',neutral
'चान्द्र ज्योतिषानुसार वह व्यक्ति जिसका जन्म तब हुआ हो जब चन्द्र धनुराशि में हो ',present
'दौड़ने वाला व्यक्ति ',neutral
'वह व्यक्ति जिसे मधुमेह रोग हुआ हो ',present
'नाटक लिखने वाला व्यक्ति ',neutral
'करताल बजाकर भिक्षा माँगने वाला ',neutral
'किसानों के खातों की जाँच के बाद उसमें किया जाने वाला संशोधन या सुधार ',future
'रूढ़िवादी इस्लामी नागरिक सेना जिसने उन्नीस सौ पनचानबे में अफ़गानिस्तान पर कब्जा किया था ',future
'वह जिसका गर्भाधान दोपहर को हुआ हो ',present
'वह साफा जिसका एक फेट दाढ़ी और गाल से होता हुआ जाता है ',present
'लोहे,पीतल आदि का बना हुआ अँकुशीदार छल्ला जो किसी बंधन के दोनों छोरों को मिलाये रखने या कसने के काम में लाया जाता है ',past
'ईंटें पाथने वाला मजदूर ',neutral
'बोझा ढोने वाला पशु ',neutral
'भूमि नापते समय जरीब खींचने वाला व्यक्ति ',neutral
'कोई ऐसी बात जिसकी अनुभूति या ज्ञान किसी विशेष अवस्था में या कोई काम करते समय हुआ हो ',past
'नदी के किनारे पर बाँधा हुआ बाँध ',future
'अभिमान करने वाला व्यक्ति ',neutral
'जाड़ा देकर चढ़ने वाला बुखार ',neutral
'फन वाला जहरीला साँप ',neutral
'जहाज चलाने वाला व्यक्ति ',neutral
'धातु का बना घट ',neutral
'जाँच करने वाला व्यक्ति ',neutral
'सूर्योदय से कुछ पहले सूर्यास्त होने के कुछ बाद का वह समय जिसमें प्रकाश धुँधला होने के कारण चीजें स्पष्ट रूप से दिखाई नहीं देतीं ',past
'हिंदुओं का एक त्योहार जो होली के जलने के दूसरे दिन चैत बदी प्रथमा को होता है और जिसमें सवेरे के समय लोग एक दूसरे पर कीचड़, धूल आदि और संध्या को अबीर, गुलाल आदि डालते हैं ',past
'विद्या या कला सिखाने वाला व्यक्ति ',neutral
'तलवार चलाने वाला व्यक्ति ',neutral
'याचना करने वाला व्यक्ति ',neutral
'बधिया किया हुआ बकरा ',present
'एक प्रकार का राजस्थानी लोक-गीत जिसे स्त्रियाँ प्रायः झूला झूलते समय गाती हैं ',neutral
'एक प्रथा जिसमें विवाह के समय कन्या पक्ष के द्वारा वर पक्ष को कुछ धन,वस्त्र आदि देना पड़ता है ',past
'कपड़े आदि का बुना हुआ वह खेल उपस्कर जो टेनिस आदि के खेल में खेल के मैदान को बाँटता है या जिसके दोनों ओर प्रतिद्वंदी खिलाड़ी खड़े होकर खेलते हैं ',past
'तीसी कटने के बाद खेत में बचा हुआ जड़ के ऊपर का छोटा डंठल ',future
'दूध देने वाला पशु ',neutral
'आँख के दृष्टिपटल पर होने वाला रोग ',future
'वह धन, वस्त्र और गहने आदि जो विवाह के समय कन्या पक्ष से वर पक्ष को मिलते हैं ',past
'दाल की पीठी को गोल-गोल करके तेल में तलकर तथा उसे दही में डालकर बनाया हुआ एक चटपटा खाद्य ',past
'लिखा हुआ काग़ज़ आदि, विशेषतः वह काग़ज़ आदि जिस पर किसी विषय से संबंधित कोई महत्व की बात लिखी हो ',past
'राजसिंहासन या गद्दी पर बैठने के समय होनेवाला कृत्य ',future
'पान बेचने वाला व्यक्ति ',neutral
'किसी पदार्थ आदि के प्रकार, गुण आदि का परिचय कराने के लिए उसमें से निकाला हुआ थोड़ा अंश ',past
'चान्द्रमास की वह तिथि जिस दिन किसी का जन्म हुआ हो ',present
'पारसियों के नए साल का पहला दिन ',future
'किसी स्थान, व्यक्ति आदि को पाने के लिए लिखे हुए निर्देश या पत्र आदि पर लिखा हुआ किसी का नाम और रहने का स्थान आदि ',past
'परीक्षा या इम्तहान लेने वाला व्यक्ति ',neutral
'तीर के पिछले भाग में लगा हुआ पर ',future
'लेखाबही का वह स्तम्भ जिसमें किसी के नाम के आगे उसको दिया या उससे पाया हुआ धन, माल आदि लिखा रहता है ',past
'पटा खेलने वाला एक खिलौना ',neutral
'नक्शा बनाने वाला व्यक्ति ',neutral
'चान्द्र ज्योतिषानुसार वह व्यक्ति जिसका जन्म तब हुआ हो जब चन्द्र तुलाराशि में हो ',present
'तंबूरा बजाने वाला व्यक्ति ',neutral
'छप्पर वाला पलंग ',neutral
'अत्यधिक गुस्सा आने पर चढ़ने वाला आवेश ',future
'थाइमस ग्रंथि से स्त्रावित होने वाला एक हार्मोन जैसा पदार्थ ',neutral
'डाँटने वाला व्यक्ति ',neutral
'वह पेय पदार्थ जो ठंडा हो या बर्फ आदि डालकर ठंडा बनाया हुआ पेय ',present
'चोब या आसा लेकर चलने वाला नौकर ',neutral
'रस्सी, वस्त्र आदि खींचने से आने वाला खिंचाव ',future
'रुपए-पैसे का लेन-देन करने वाला व्यक्ति ',neutral
'आँखों की वे महीन लाल नसें जो साधारणतः मनुष्यों की आँखों में उस समय दिखाई देती हैं जब वे सोकर उठते हैं या नशे, प्रेम आदि की उमंग में होते हैं ',past
'किसी सतह के ईकाई क्षेत्रफल पर लगने वाला बल ',future
'रेलगाड़ी के पटरी पर चलने से उत्पन्न् होने वाला शब्द ',future
'धीरे से किया हुआ प्रवेश ',present
'अहमदाबाद के एक साधु जो अकबर के समय में हुए थे ',future
'सफ़ाई करने वाला व्यक्ति ',neutral
'एक बरतन जिसमें रखे हुए तरल पदार्थ का तापमान बहुत समय तक अपनी अवस्था में ही बना रहता है यानि कम नहीं होता है ',past
'अकेला रहने वाला साधु ',neutral
'बुरे स्वभाव वाला व्यक्ति ',neutral
'घर-बार या बाल-बच्चे वाला व्यक्ति ',neutral
'वह जगत जिसमें चेतना हो या जीवित प्राणियों से मिलकर बना हो ',present
'तिकड़म करने वाला व्यक्ति ',neutral
'गौ, बैल, घोड़े आदि के मुँह पर बाँधा जाने वाला जाल ',future
'किसी भी यंत्र का वह पुर्जा जो किसी द्रव के बहाव, दबाव, समय, तापमान आदि को नियंत्रित करने के लिए होता है ',past
'वह अचार जो नीबू का बना हो ',present
'थापने वाला व्यक्ति ',neutral
'विजयादशमी के दिन ब्राह्मणों द्वारा आशीर्वाद के रूप में दिए जाने वाले जौ के अंकुर ',future
'किसी विषय, विशेषतः धार्मिक विषय या अलौकिक सत्ता का लगातार कुछ समय तक होने वाला गंभीर मनन या चिंतन जो योग का सातवाँ तथा समाधि के पूर्व का अंग माना जाता है ',past
'सौर ज्योतिषानुसार वह व्यक्ति जिसका जन्म तब हुआ हो जब सूर्य तुलाराशि में हो ',present
'परिश्रम करने वाला व्यक्ति ',neutral
'एक वृक्ष की छाल जो पवित्र मानी जाती है और पुराने समय में कुछ लिखने के काम भी आती थी ',past
'दो बूटियों वाला ताश का पत्ता ',neutral
'गाय, भैंस आदि चराने वाला व्यक्ति ',neutral
'वह महिला जिसका विवाह हाल में ही हुआ हो ',present
'स्त्रियों के नाम के अंत में लगने वाला शब्द ',future
'दुर्योधन का भाई जिसने द्रौपदी के चीर हरण का प्रयास किया था ',present
'तीसरे दिन आने वाला ज्वर ',future
'डंडा लगा हुआ लोहे का एक उपकरण जिसके नीचे का भाग गोल और समतल होता है और जिससे कंकड़,मिट्टी आदि पीटकर बराबर करते हैं ',past
'पखावज बजाने वाला ',neutral
'तंत्रशास्त्र के अनुसार वह पूजा-पाठ जो किसी विशिष्ट उद्देश्य की सिद्धि के लिए नियमित रूप से कुछ समय तक विधिपूर्वक किया जाता है ',past
'सौर ज्योतिषानुसार वह व्यक्ति जिसका जन्म तब हुआ हो जब सूर्य धनुराशि में हो ',present
'अत्याचार करने वाला व्यक्ति ',neutral
'सौर ज्योतिषानुसार वह व्यक्ति जिसका जन्म तब हुआ हो जब सूर्य मिथुनराशि में हो ',present
'चित्त की वह वृत्ति जिससे मनुष्य दूसरे द्वारा पहुँचाया हुआ कष्ट सह लेता है और उसके प्रतिकार या दंड की इच्छा नहीं करता ',past
'एक अफगानी क्रूर शासक जिसने १७३८ में दिल्ली पर आक्रमण किया था ',future
'मलेरिया उत्पन्न करने वाला एक सूक्ष्म परजीवी ',neutral
'वह माना हुआ क्षेत्र जिसमें कोई प्रभावी हो ',present
'मुम्बई का रहने वाला व्यक्ति ',neutral
'ध्यानपूर्वक निरीक्षण या अवलोकन करने वाला व्यक्ति ',neutral
'वह जो अपने क्षेत्र या विषय में बहुत ही पहुँचा हुआ या महान अग्रणी हो ',present
'एक राजा जो मरने के बाद अगले जन्म में रावण हुआ ',future
'रासायनिक पदार्थों से बना औषध ',neutral
'लड़ाई के समय हाथी, घोड़ों पर डाली जानेवाली लोहे की झूल ',future
'पत्थर का वह बहुत ही महीन चूर्ण जो वर्षा के जल के साथ आकर नदियों के किनारे जम जाता या ऊसर ज़मीनों और रेगिस्तानों में भरा हुआ मिलता है ',past
'अनुवृत्ति या पेन्शन पाने वाला व्यक्ति ',neutral
'बेसन के घोल को गोल छेद वाले साँचे से खौलते तेल में डालकर तला हुआ छोटा गोल पोला टुकड़ा जिससे लड्डू, रायता आदि बनाये जाते हैं ',past
'भार उठाने वाला खिलाड़ी ',neutral
'घास, बाँस आदि सड़ाकर बनाया हुआ वह महीन पत्र जिस पर चित्र, अक्षर आदि लिखे या छापे जाते हैं ',past
'परीक्षा या इम्तहान देने वाला व्यक्ति ',neutral
'पैंतरा दिखाने वाला व्यक्ति ',neutral
'यज्ञ कराने वाला व्यक्ति ',neutral
'सिक्ख गुरुओं के अवतार या प्रकाश के दिन मनाया जाने वाला उत्सव या पर्व ',future
'कपास के खेत में रूई एकत्रित करने वाला मजदूर ',future
'सामने वाला दूसरा पार्श्व या दूसरी तरफ ',neutral
'वह रंग जो किसी अन्य रंगों के मिश्रण से न बना हो ',present
'मृतक के लिए किया जाने वाला वार्षिक श्राद्ध ',future
'प्रश्न करने वाला व्यक्ति ',neutral
'मकान बनाने वाला कारीगर ',neutral
'एक प्रकार की छोटी करारी फुलकी में छोले, मसाले, खट्टा पानी आदि डालकर बनाया हुआ एक चटपटा खाद्य पदार्थ ',past
'विशेषकर नियत समय पर प्रकाशित होनेवाली एक विशेष प्रकार की वह पुस्तक जिसमें कोई सूचना, जानकारी, किसी के विचार या कोई वर्णन हो ',past
'बिसातबाने की चीज़ें बेचने वाला ',neutral
'किसी हवन आदि का या किसी संत, ओझा आदि के द्वारा दिया हुआ वह भस्म जिसे मस्तक और भुजाओं आदि पर लगाया जाता है ',past
'गुड़ के शर्बत या ऊख के रस में पका हुआ चावल ',future
'किसी वस्तु का ऊपरी या बाहरी खुला हुआ भाग जहाँ से कोई वस्तु आदि अंदर जाती या बाहर निकलती है ',past
'बिजली से प्रकाशित होने वाला उपकरण ',neutral
'नदियों आदि के ऊपर,उन्हें पार करने के लिए नावें पाटकर,मोटे रस्से बाँधकर या खम्भों पर पटरियाँ आदि बिछाकर बनाया हुआ रास्ता और उससे संबंध रखने वाली सारी रचना ',past
'साहित्य के अनुसार मन में होने वाला वह विकार जो अपने प्रिय व्यक्ति के किसी दोष या अपराध के कारण कुछ समय के लिए उसे उदासीन कर देता है ',past
'पढ़ने वाला व्यक्ति ',neutral
'गिरते समय जल आदि तरल पदार्थों का वह थोड़ा अंश जो प्रायः छोटी गोली के समान बन जाता है ',past
'घूम-घूमकर सौदा बेचने वाला व्यक्ति ',neutral
'आगामी कल के बाद वाला दिन ',future
'सुखाया हुआ घीक्वार का रस ',neutral
'रूप निखार के लिए बना स्थान ',future
'रावण द्वारा भेजा हुआ वह राक्षस जिसने सोने का मृग बनकर सीताजी को छला था ',present
'अध्ययन के समय एक बार में पढ़ाया जाने वाला अंश ',future
'वह आदमी जो अब मरने ही वाला हो या मरणतुल्य आदमी ',present
'* जुए में जुआरियों द्वारा दाँव पर लगाया हुआ कुल धन ',future
'मुफ़्त का माल खाने वाला व्यक्ति ',neutral
'मुनाफ़ा खाने वाला व्यक्ति ',neutral
'गन्ने से रस निकालने के बाद बचा भाग ',future
'वह ऋषि जो ब्राह्मण कुल में उत्पन्न हुआ हो ',present
'मिट्टी से निकलने वाला एक क्षार ',neutral
'चेहरा छिपाने के लिए उस पर डाला हुआ कपड़ा ',future
'मार्ग प्रशस्त करने वाला व्यक्ति ',neutral
'योजना बनाने वाला व्यक्ति ',neutral
'वह खाद्य पदार्थ जो केवल फलों से बना हो और जिसमें अन्न का सर्वथा अभाव हो ',present
'चान्द्र ज्योतिषानुसार वह व्यक्ति जिसका जन्म तब हुआ हो जब चन्द्र मकरराशि में हो ',present
'वह व्यक्ति जिसका धनी परिवार में जन्म हुआ हो ',present
'सौर ज्योतिषानुसार वह व्यक्ति जिसका जन्म तब हुआ हो जब सूर्य मकरराशि में हो ',present
'वह विधवा स्त्री जिसका विवाह पति के मरने के उपरान्त अन्य पुरुष से हुआ हो ',present
'रथ चलाने वाला व्यक्ति ',neutral
'सौर ज्योतिषानुसार वह व्यक्ति जिसका जन्म तब हुआ हो जब सूर्य मेषराशि में हो ',present
'जिसे प्लीहा या तिल्ली का रोग हुआ हो ',present
'रबाब बजाने वाला ',neutral
'संत ज्ञानेश्वर द्वारा चलाया हुआ एक एक पंथ ',neutral
'इस लोक में बुरा माना जाने वाला और परलोक में अशुभ फल देने वाला कर्म ',future
'* वह बरतन जो मिट्टी का बना हो ',present
'बिहारी बोली में गाया जाने वाला दादरा ',future
'प्रस्तुत करने वाला व्यक्ति ',neutral
'चित्र बनाने वाला व्यक्ति ',neutral
'मिट्टी खाने से होने वाला पांडु रोग ',neutral
'वह समय जब कोई बूढ़ा हो ',present
'वह जो हर समय पिनपिनाता रहता हो ',present
'किसी जाति, देश या समाज के वे सब लोग जो किसी विशिष्ट काल में प्रायः कुछ आगे-पीछे जन्म लेकर साथ ही रहते हों या किसी विशिष्ट समय का वह सारा जन समुदाय जिनकी उम्र में अधिक अंतर न हो ',past
'चान्द्र ज्योतिषानुसार वह व्यक्ति जिसका जन्म तब हुआ हो जब चन्द्र मीनराशि में हो ',present
'चान्द्र ज्योतिषानुसार वह व्यक्ति जिसका जन्म तब हुआ हो जब चन्द्र मेषराशि में हो ',present
'प्रयत्न या उद्यम करने वाला व्यक्ति ',neutral
'रस्सी बटने वाला व्यक्ति ',neutral
'वीणा बजाने वाला व्यक्ति ',neutral
'दो पंखों वाला उड़ने वाला छोटा कीट ',neutral
'बहुत खाने वाला व्यक्ति ',neutral
'घर के पिछले भाग में बना द्वार ',future
'सरकार का चलाया हुआ वह कागज़ जिस पर कुछ रुपयों की संख्या छपी रहती है और जो उतने रुपये के सिक्के के रूप में चलता है ',past
'पहाड़ों में पाया जाने वाला महुआ ',future
'बंदूक चलाने वाला व्यक्ति ',neutral
'चान्द्र ज्योतिषानुसार वह व्यक्ति जिसका जन्म तब हुआ हो जब चन्द्र मिथुनराशि में हो ',present
'एक प्रकार का छपा हुआ कपड़ा ',neutral
'एक प्रकार का मसाला जो किवाड़ में शीशे बैठाते समय लगाया जाता है या छेद आदि भरने के काम आता है ',past
'बीमा करने वाला व्यक्ति ',neutral
'ऐसी माता जिसने केवल कन्या या कन्याओं को ही जन्म दिया हो ',present
'ताश के पत्तों में रानी के चित्र वाला पत्ता ',future
'भोजन परोसने वाला ',neutral
'वह समय जब कोई अधेड़ हो ',present
'फारसी लिपी में वर्णों के ऊपर या नीचे लगने वाला बिंदु ',future
'मशीन से चलने वाला करघा ',neutral
'मालवाहक जलयान में लादा जाने वाला माल ',future
'वह जो दे या देने वाला ',present
'महान या उच्च आशय और विचारों वाला व्यक्ति ',neutral
'गुट बनाने वाला व्यक्ति ',neutral
'किसी निश्चय,विधि आदि में पड़नेवाली कठिनता से बचने के लिए निकाला हुआ मार्ग या निश्चित किया हुआ विधान ',past
'एक दिन की ख़ुराक ',neutral
'हिन्दू-शास्त्रों के अनुसार प्राणियों के द्वारा पूर्व जन्मों में किये हुए कार्य जिनके फल वह इस समय भोग रहा हो अथवा आगे चलकर भोगने को हो ',past
'कुछ अधिक समय तक किसी खाद्य वस्तु को पीतल के पात्र में रखने के कारण उत्पन्न विकार ',past
'थोड़ी मात्रा में किया जाने वाला भोजन ',future
'मेवे बेचने वाला ',neutral
'बाल टूटने से होने वाला फोड़ा ',neutral
'दरिद्र परन्तु सदा मस्त रहने वाला व्यक्ति ',neutral
'पायों, पाटियों आदि का बना हुआ तथा रस्सियों आदि से बुना हुआ एक चौकोर वस्तु जिस पर लोग बिछौना बिछाकर सोते हैं ',past
'हाल की जनी हुई गौ या भैंस के दूध में गुड़, शक्कर आदि मिलाकर तथा पकाकर जमाया हुआ खाद्य ',past
'याचिका या अर्ज़ी करने वाला व्यक्ति ',neutral
'भूमध्य सागर के पूर्वी तट पर का पूर्व ब्रिटिश अधिदेश जिसका विभाजन उन्नीस सौ अड़तालिस में जॉर्डन और इस्राइल में हुआ था ',future
'सौर ज्योतिषानुसार वह व्यक्ति जिसका जन्म तब हुआ हो जब सूर्य मीनराशि में हो ',present
'रंग बनाने वाला व्यक्ति ',neutral
'भाला या बरछा लेकर चलने वाला व्यक्ति ',neutral
'वह स्थान जहाँ किसी का जन्म हुआ हो ',present
'किसी क्षेत्र विशेष के प्रति इकाई क्षेत्र में जीवित या कुछ ही समय पूर्व मरे पदार्थों, जिनमें कार्बन, हाइड्रोजन और ऑक्सीजन होते हैं, का कुल द्रव्यमान ',past
'रात को पहरा देने वाला पहरेदार ',neutral
'पिचका हुआ टिन का डिब्बा ',neutral
'ऊपर या बाहर से बनाया हुआ ऐसा रूप जिससे अन्दर की त्रुटि या दोष दब जाय तथा देखने में वह आकर्षक और बहुमूल्य जान पड़े ',past
'कार्य,पढ़ाई,खेल आदि के बीच में थोड़े समय के लिए होने वाला वह अवकाश जो लोगों को सुस्ताने,जलपान आदि करने के लिए मिलता है ',past
'वह धन जो दुकानदार किसी बेची हुई वस्तु को वापस लेते समय विक्रय-मूल्य में से काट लेता है ',past
'मरा हुआ व्यक्ति ',neutral
'दिन का वह मुख्य भोजन जो रात को किया जाता है ',present
'वृथा का तर्क करने वाला व्यक्ति ',neutral
'शब्द का वह मूल रूप जिससे वह निकला या बना हो ',present
'दुर्गासप्तशती के आदि में पाठ किया जाने वाला एक स्तोत्र ',future
'प्रसन्न और निश्चिंत रहने वाला व्यक्ति ',neutral
'बाँस आदि का बना छोटा पंखा ',neutral
'बिगुल बजाने वाला व्यक्ति ',neutral
'पेशवा शासन के समय में एक नामी और पराक्रमी सेनापति ',future
'बीमा करवाने वाला व्यक्ति ',neutral
'मुलाक़ात या भेंट करने वाला ',neutral
'वह पदार्थ जो दो या दो से अधिक तत्वों या पदार्थों से मिलकर बना हो ',present
'व्याकरण में सर्वनामों का वह भेद जिससे यह जाना जाता है कि सर्वनाम का प्रयोग वक्ता के लिए हुआ है या श्रोता या संबोध्य या किसी और के लिए ',past
'वह रेखा जो भूमि जोतते समय हल की फाल धँसने से बनती है ',present
'व्याकरण में वह वर्ण जिसका उच्चारण करते समय जीभ कुछ ऊपर उठकर और मुख के किसी भाग को स्पर्श करते हुए बहुत थोड़े समय के लिए श्वास रोक देती है ',past
'सिर कट जाने पर बचा हुआ धड़ ',future
'* वेस्टर्न आमलेट से बना सैंडविच ',neutral
'शिकायत करने वाला व्यक्ति ',neutral
'शगुन विचारने या बतलाने वाला ',neutral
'जीविका-निर्वाह के लिए किया जाने वाला काम ',future
'व्याख्या करने वाला या देनेवाला व्यक्ति ',neutral
'दिन में दो बार आनेवाला ज्वर ',future
'शुक्रवार के बाद और रविवार के पहले का वार या दिन ',future
'हमला करने वाला व्यक्ति ',neutral
'वह उपकरण जो किसी काम आदि में लगने वाले समय को बिल्कुल सही दर्शाता है ',past
'वह समय जब सूर्य डूबता है ',present
'वह हवा जिसने पृथ्वी को चारों ओर से घेरा हुआ है ',present
'शराब पिया हुआ व्यक्ति ',neutral
'पत्थर काटकर या गढ़कर कुछ बनाने वाला कारीगर ',neutral
'समय की सीमा ',neutral
'बेलन लगा हुआ वह वाहन जो स्थान आदि समतल करने के काम आता है ',past
'किसी पर अस्त्र-शस्त्र से किया जाने वाला प्रहार ',future
'शंका करने वाला व्यक्ति ',neutral
'व्याकरण के नियमों के अनुसार क्रम से लगा हुआ वह सार्थक शब्द-समूह जिसके द्वारा किसी पर अपना अभिप्राय प्रकट किया जाता है ',past
'सूर्य के निकलने और डूबने के समय आकाश में दिखाई देनेवाली लालिमा ',future
'सांसारिकता से अलग रहकर धार्मिक जीवन बिताने वाला पुरुष ',neutral
'जमा करने वाला व्यक्ति ',neutral
'बारूद आदि की सहायता से किला अथवा दीवार उड़ाने के लिए उसके नीचे खोदकर बनाया हुआ गहरा और लंबा गड्ढा ',past
'झाड़-फूँक करने वाला व्यक्ति ',neutral
'नाक से निकलने वाला तरल मल ',neutral
'जिसने अभी-अभी या कुछ ही समय पहले ही बच्चे को जन्म दिया हो ',present
'खाद्य-पदार्थ या उपयोग की अन्य वस्तुओं के वितरण की वह व्यवस्था जिसमें कुछ निश्चित नियमानुसार निश्चित मात्रा में एवं निश्चित समय में ही वस्तुएँ दी जाती हैं ',past
'रिक्शा चलाने वाला व्यक्ति ',neutral
'वह पत्र या कागज जो किसी अन्य पत्र के साथ लगा या जुड़ा हुआ है ',past
'सौर ज्योतिषानुसार वह व्यक्ति जिसका जन्म तब हुआ हो जब सूर्य वृश्चिकराशि में हो ',present
'हाथ का बटा हुआ एक प्रकार का देशी सूत ',neutral
'वाचन करने वाला या पढ़कर सुनाने वाला व्यक्ति ',neutral
'सूर्य के निमित्त किया जाने वाला एक व्रत ',future
'अफ़गानिस्तान और फ़ारस में होने वाले एक छोटे पौधे का जमाया हुआ गोंद या दूध जिसमें बहुत तीव्र गंध होती है ',past
'खाने-पीने या अन्य आवश्यकताओं की वस्तुएँ जो राजकीय व्यवस्था द्वारा कुछ नियत समय में एवं नियत मात्रा में ही दी जाती है ',past
'जंगल की देखभाल करने वाला अधिकारी ',neutral
'दूरदर्शिता की असामान्य शक्तियों वाला व्यक्ति ',neutral
'शंख बजाने वाला व्यक्ति ',neutral
'मूलतः ऐसा समय जब भिक्षुकों को सहज में यथेष्ट भिक्षा मिलती हो ',present
'सात बूटियों वाला ताश का पत्ता ',neutral
'बृहस्पतिवार के बाद और शनिवार के पहले का दिन ',future
